Uy xo'jaliklari;36019,00;47206,20;59292,00;75306,30;94647,70;117497,30;139273,60;156481,50;189138,20
Davlat boshqaruvi organlari;8172,80;10737,00;13409,60;17126,20;22136,80;26412,10;30946,60;36652,90;41922,20
Uy xo'jaliklariga xizmat ko'rsatuvchi notijorat tashkilotlari;504,00;714,50;879,90;1008,20;1230,20;1539,50;1833,60;2159,60;2573,30
Yalpi jamg`arish,,;;;;;;;;;
Asosiy kapitalning yalpi jamg'arilishi ;15781,00;18296,00;23730,60;29672,30;36627,60;45359,90;50914,30;66098,20;100424,10
Tovar moddiy zaxiralarining o'zgarishi,,;;;;;;;;;
Tovarlar va xizmatlar eksport-import saldosi,,;;;;;;;;;
Tovarlar va xizmatlar eksporti;17642,40;23191,00;24195,30;28576,30;27844,60;32147,00;35804,70;36545,10;72060,30
Tovarlar va xizmatlar importi;13454,70;18073,50;21983,80;26327,90;29319,30;28652,90;31043,00;41640,70;100051,10
Statistik tafovut,,;;;;;;;;;
Doimiy narxlarda yakuniy iste'mol usulida hisoblangan yalpi ichki mahsulot , o'tgan yil narxlarida, foiz hisobida;107,30;107,80;107,40;107,60;107,20;107,40;106,10;104,50;105,40
Yakuniy iste'mol �arajatlari;109,90;112,60;110,40;109,80;110,30;110,90;108,10;103,40;105,70
Uy xo'jaliklari;110,80;113,70;110,90;110,30;110,70;112,00;109,40;103,90;105,90
Davlat boshqaruvi organlari;107,00;108,80;108,50;108,60;108,40;106,70;102,70;101,50;104,80
Uy xo'jaliklariga xizmat ko'rsatuvchi notijorat tashkilotlari;99,60;102,20;103,80;101,00;108,40;103,00;104,40;103,85;103,30
Yalpi jamg`arish;;;;;;;;;
Asosiy kapitalning yalpi jamg'arilishi;104,20;102,60;110,60;111,30;109,80;109,40;104,10;119,40;129,90
Tovar moddiy zaxiralarining o'zgarishi;;;;;;;;;
Tovarlar va xizmatlar eksport-import saldosi;;;;;;;;;
Tovarlar va xizmatlar eksporti;102,00;112,20;94,10;111,10;92,50;102,30;111,10;101,30;109,30
Tovarlar va xizmatlar importi;97,20;123,60;113,00;108,80;100,30;88,80;97,80;115,50;138,50
Statistik tafovut;;;;;;;;;
